fromRegion,toFacility,timePeriod,quantity
12,2,120,1000000.0
12,2,127,1000000.0
12,2,134,1000000.0
12,4,15,1000000.0
12,4,22,1000000.0
12,4,43,1000000.0
12,4,50,13.226592133017673
12,4,57,1000000.0
12,4,71,1000000.0
12,4,78,1000000.0
12,4,85,999991.0097082764
12,4,99,1000000.0
12,4,113,1000000.0
12,4,120,9.369948211072415
12,4,134,1000000.0
12,4,141,1000000.0
12,20,15,29.34899248738252
12,20,64,1000000.0
12,20,78,12.358126587165584
12,20,85,1000000.0
12,20,99,1000000.0
12,20,106,1000000.0
12,20,113,1000000.0
12,20,120,1000000.0
12,20,127,1000000.0
12,20,134,9.236625049865982
12,20,141,8.767070108553463
12,20,148,1000000.0
12,23,22,1000000.0
12,23,29,1000000.0
12,23,43,1000000.0
12,23,57,1000000.0
12,23,64,1000000.0
12,23,71,1000000.0
12,23,85,1000000.0
12,23,113,1000000.0
12,23,120,1000000.0
12,23,127,1000000.0
12,33,15,1000000.0
12,33,22,1000000.0
12,33,36,1000000.0
12,33,43,1000000.0
12,33,50,1000000.0
12,33,64,1000000.0
12,33,141,1000000.0
12,61,8,1000000.0
12,61,22,18.824174275841706
12,61,29,1000000.0
12,61,36,1000000.0
12,61,50,1000000.0
12,61,57,1000000.0
12,61,71,1000000.0
12,61,92,1000000.0
12,61,99,1000000.0
12,61,106,1000000.0
12,61,134,1000000.0
12,61,141,1000000.0
12,61,148,1000000.0
12,63,8,1000000.0
12,63,22,1000000.0
12,63,29,1000000.0
12,63,57,1000000.0
12,63,78,1000000.0
12,63,92,1000000.0
12,63,106,9.594180239992408
12,63,127,1000000.0
12,63,134,1000000.0
12,63,141,1000000.0
12,63,148,1000000.0
13,8,8,101.97694651615703
13,8,15,1000000.0
13,8,22,1000000.0
13,8,36,1000000.0
13,8,43,999962.6436332269
13,8,50,1000000.0
13,8,57,1000000.0
13,8,64,1000000.0
13,8,71,1000000.0
13,8,78,1000000.0
13,8,92,1000000.0
13,8,99,0.024516403177803393
13,8,106,1000000.0
13,8,113,1000000.0
13,8,120,1000000.0
13,8,134,1000000.0
13,8,141,1000000.0
13,8,148,1000000.0
13,21,8,1000000.0
13,21,22,1000000.0
13,21,29,1000000.0
13,21,50,1000000.0
13,21,57,1000000.0
13,21,71,1000000.0
13,21,78,1000000.0
13,21,92,1000000.0
13,21,99,1000000.0
13,21,120,1000000.0
