region,timePeriod,V
5,67,469487.75361000304
5,68,469286.7990081634
5,69,469086.44528311235
5,70,468843.1155461932
5,71,468644.0412042269
5,72,468445.58697617566
5,73,468247.71035416395
5,74,468050.39760108327
5,75,467853.64883422403
5,76,467657.46996134944
5,77,467461.8685149649
5,78,467266.851656197
5,79,467028.4707449933
5,80,466834.68349074095
5,81,466641.4900874248
5,82,466448.90631540155
5,83,466256.88380043564
5,84,466021.9363249842
5,85,465831.045803444
5,86,465640.70032997354
5,87,465450.9212094634
5,88,465261.72075407504
5,89,465073.1057498344
5,90,464885.0795939994
5,91,464697.64361103764
5,92,464510.7978615741
5,93,464324.48699912225
5,94,464138.69247782597
5,95,463953.41365905653
5,96,463768.65755638905
5,97,463584.4335049295
5,98,463400.75057915563
5,99,463217.6165000955
5,100,463035.03731466725
5,101,462858.3382857369
5,102,462639.3785557229
5,103,462461.5846061852
5,104,462283.0110569325
5,105,462104.1741225335
5,106,461925.39236711076
5,107,461746.86193015234
5,108,461568.703179031
5,109,461390.9896243261
5,110,461213.76582967053
5,111,461043.0147623032
5,112,460872.508839807
5,113,460700.2107383519
5,114,460527.0038466058
5,115,460353.4382693987
5,116,460179.8563481006
5,117,460006.47090061917
5,118,459833.41399278067
5,119,459660.7673419621
5,120,459488.58127161814
5,121,459317.52796214656
5,122,459146.7285879039
5,123,458976.23091829236
5,124,458806.0822916006
5,125,458636.3242789668
5,126,458466.9910203045
5,127,458298.1093467543
5,128,458129.6996662689
5,129,457961.7770803517
5,130,457794.35247425595
5,131,457627.43347157555
5,132,457467.5728151465
5,133,457307.74402121286
5,134,457145.8690917179
5,135,456982.9195424739
5,136,456819.49910329183
5,137,456666.817747688
5,138,456509.94964101486
5,139,456350.73083713703
5,140,456190.2856090958
5,141,456029.3005098637
5,142,455869.46802677575
5,143,455709.17993958754
5,144,455548.76307369315
5,145,455388.4317345085
5,146,455228.3267163727
5,147,455090.12098461064
5,148,454949.9665930264
5,149,454805.9406773434
5,150,454656.2788105335
5,151,454503.3967514927
5,152,454352.6371495222
5,153,454201.6951351567
5,154,454048.4639435696
5,155,453894.0014277435
6,1,0.0
6,2,127607.702873501
6,3,242111.25332982407
6,4,344782.2156416392
6,5,437489.72281440365
6,6,521246.6910679757
6,7,596961.5426075996
6,8,665449.2039715215
6,9,727440.9050120574
6,10,783592.9172651632
6,11,834494.3529431005
6,12,880674.1307316388
6,13,922605.6098165158
6,14,960714.2429319208
6,15,995382.4422426627
6,16,1026953.948253527
6,17,1055737.7530391
6,18,1082011.6236880007
6,19,1106025.2670449857
6,20,1128003.1725446363
6,21,1148147.1661017684
6,22,1166638.7046041924
6,23,1183641.0798110066
6,24,1199284.6109416173
6,25,1213702.2878321926
6,26,1227013.684770767
6,27,1239326.3142851058
6,28,1250736.844170106
6,29,1261332.1915662775
6,30,1271179.7403066831
6,31,1280350.302715331
6,32,1288918.6729080311
6,33,1296898.5890423818
6,34,1304388.2546094095
6,35,1311411.190305317
6,36,1317983.6699146188
6,37,1324195.725753703
6,38,1330026.418032314
6,39,1335563.2588571843
6,40,1340773.6779627553
6,41,1345706.5262333855
6,42,1350377.5574545113
6,43,1354806.5121237563
6,44,1359055.054269808
6,45,1363051.174445418
6,46,1366853.4408008272
6,47,1370474.1027461647
6,48,1373923.9794762123
6,49,1377268.4418054367
6,50,1380462.7708438574
6,51,1383455.9007346265
6,52,1386376.2228946758
6,53,1389169.2170627262
6,54,1391840.9581917492
6,55,1394396.7762679865
6,56,1396841.3250958743
6,57,1399178.6438972
6,58,1401412.2124408213
6,59,1403545.0003465582
6,60,1405579.5111414858
6,61,1407517.821588058
6,62,1409372.6263289917
6,63,1411144.4753056827
6,64,1412833.6780583584
6,65,1414440.319570926
6,66,1415964.274198766
6,67,1417405.2178606116
6,68,1418762.638656886
6,69,1420035.8460599587
6,70,1421223.9788065683
6,71,1422215.9369618637
6,72,1423138.896036731
6,73,1424108.5005670195
6,74,1424877.1105581452
6,75,1425694.895840168
6,76,1426429.8106403707
6,77,1427079.4392362025
6,78,1427641.2970025693
6,79,1428112.8240907656
6,80,1428491.3792386798
6,81,1428774.2336791288
6,82,1428997.972777777
6,83,1429156.901948152
6,84,1429245.551551826
6,85,1429258.6394732683
6,86,1429191.0369116047
6,87,1429394.400148177
6,88,1429701.6701367171
6,89,1429843.77171981
6,90,1430085.4804366168
6,91,1430566.1888670186
6,92,1431074.6558086043
6,93,1431599.7207485703
6,94,1432131.137796638
6,95,1432659.4738838992
6,96,1433176.0168873612
6,97,1433672.6926636957
6,98,1434141.990077807
6,99,1434576.8932036292
6,100,1434970.819957047
6,101,1435317.5664949839
6,102,1435640.0468491702
6,103,1435930.6412758424
6,104,1436182.2117716696
6,105,1436388.0411426688
6,106,1436541.7777589117
6,107,1436637.3854023935
6,108,1436669.0976745714
6,109,1436631.3764832225
6,110,1436518.8741760114
6,111,1436672.3335672244
6,112,1436827.5356810547
6,113,1436974.4721374423
6,114,1437103.8669885541
6,115,1437207.0908344947
6,116,1437276.0831594004
6,117,1437591.096765081
6,118,1438127.1601252032
6,119,1438861.3461742653
6,120,1439772.6658942078
6,121,1440841.9526832039
6,122,1441979.7369121462
6,123,1443174.4091788733
6,124,1444415.4654203893
6,125,1445693.3914949521
6,126,1446999.5592855779
6,127,1448326.133155887
6,128,1449665.9857070828
6,129,1451106.7402826748
6,130,1452636.6304631804
6,131,1454244.9373863302
6,132,1455921.9165165587
6,133,1457658.7801865481
6,134,1459447.5553929291
6,135,1461281.0204343577
6,136,1463152.6441400985
6,137,1465056.5281859152
6,138,1466987.3527929594
6,139,1468940.325954582
6,140,1470911.1362245162
6,141,1472895.9090189387
6,142,1474865.388645751
6,143,1476818.2204557057
6,144,1478753.174756478
6,145,1480669.1327172888
6,146,1482565.073649767
6,147,1484440.0635241019
6,148,1486293.2445936964
