region,timePeriod,X
41,19,135.46438406162798
41,20,135.54315728715363
41,21,135.6064941228209
41,22,135.65861570669728
41,23,135.7024973243746
41,24,135.7402411402644
41,25,135.77333716072712
41,26,135.80284595692393
42,0,0.0
42,1,17.441820000000003
42,2,29.651094000000004
42,3,38.20507345000001
42,4,44.20109548000001
42,5,48.406303967375024
42,6,51.357568592412534
42,7,53.43069537024285
42,8,54.888764146606356
42,9,55.91594840563799
42,10,56.6411867095518
42,11,57.15475238067256
42,12,57.519852266359365
42,13,57.7807459063457
42,14,57.968428988341415
42,15,58.104611803043454
42,16,58.20450419777465
42,17,58.27876507730427
42,18,58.33486708603189
42,19,58.378051915545285
42,20,58.4119990484385
42,21,58.43929390608592
42,22,58.46175557783015
42,23,58.480666255872606
42,24,58.49693186293274
42,25,58.51119451368374
42,26,58.52391125872789
43,0,0.0
43,1,380.51243999999997
43,2,646.871148
43,3,833.4855948999996
43,4,964.2953941599997
43,5,1056.0366311547498
43,6,1120.421706998825
43,7,1165.6492422366357
43,8,1197.4586123472022
43,9,1219.867763957167
43,10,1235.689633269183
43,11,1246.893631855248
43,12,1254.858686436044
43,13,1260.5503674355666
43,14,1264.6448797886908
43,15,1267.6158573066953
43,16,1269.7951194965676
43,17,1271.4152020603847
43,18,1272.639128934417
43,19,1273.5812533716323
43,20,1274.3218473218055
43,21,1274.9173145888437
43,22,1275.4073406025914
43,23,1275.8198977926945
43,24,1276.1747498572227
43,25,1276.4859052322754
43,26,1276.7633349782013
44,0,0.0
44,1,5.0094
44,2,8.515979999999999
44,3,10.9727365
