region,timePeriod,allocatedVaccines
38,10,0.00015597405627798723
38,11,0.00015596762859580732
38,12,0.00020481348130705322
38,13,0.0002347596821463371
38,14,0.00023475968214635619
38,15,0.00022607586375332338
38,16,0.00022190723390675727
38,17,0.00021990629402973878
38,18,0.0002189458428887987
38,19,0.000276493023379074
38,20,0.0002764930233790983
38,21,0.00026850342873846824
38,22,0.0003141667805219452
38,23,0.0003141667805219747
38,24,0.00035724024536240063
38,25,0.0003572402453625776
39,0,0.0638364899740385
39,1,0.06383648997403761
39,2,0.06383648999456963
39,3,0.06383649001579354
39,4,0.06383649007543472
39,5,0.06383649030888706
39,6,0.06373356013597321
39,7,0.06368415397745954
39,8,0.06366043947705881
39,9,0.06364905693331481
39,10,0.06364359263490829
39,11,0.06364097001535138
39,12,0.06363971106254632
39,13,0.06363910676520351
39,14,0.06363881670248303
39,15,0.06363867747238182
39,16,0.06363861064193754
39,17,0.06363857856333023
39,18,0.06363856316560892
39,19,0.06363855577471227
39,20,0.06363855222709064
39,21,0.06409196177116981
39,22,0.06385618710540819
39,23,0.06399461772828378
39,24,0.06393064655726925
39,25,0.06406052599225591
40,0,173.79450000000003
40,1,174.78450000000018
40,2,175.57288311023498
40,3,175.56150747020203
40,4,175.55604716296884
40,5,175.55342621544656
40,6,175.55216816061207
40,7,175.55156429425946
40,8,175.55127443835914
40,9,175.5511353074407
40,10,175.55106852450405
40,11,175.55051289176507
40,12,175.5502461880513
40,13,175.5501181702672
40,14,175.55072397354806
40,15,175.55034750730783
40,16,175.55072673710825
40,17,175.5506397233469
40,18,175.55066947375198
40,19,175.55077987303721
40,20,175.5508643041531
40,21,175.55092206585994
40,22,175.55096515498377
40,23,175.55100254011256
40,24,175.5510391390704
40,25,175.55100990700927
41,0,202.36590000000004
41,1,203.35590000000008
41,2,204.3507432072796
41,3,204.42339927068943
41,4,204.4170413020189
41,5,204.41398947701364
41,6,204.41252460098806
41,7,204.411821460451
41,8,204.4114839529206
41,9,204.4113219492498
41,10,204.41124418737567
41,11,204.41059720994306
41,12,204.41028666077582
41,13,204.41013759717626
41,14,204.41075468407342
41,15,204.41036224835932
41,16,204.4107665026385
41,17,204.4106896431513
41,18,204.41073188070646
41,19,204.4108623113683
41,20,204.41096169633727
41,21,204.4110277253716
41,22,204.41107328474467
41,23,204.4111088003974
41,24,204.41114054829688
41,25,204.4111082228987
42,0,87.20910000000002
42,1,88.11392211585103
42,2,88.10202996583395
42,3,88.09632173380004
42,4,88.09358178240574
42,5,88.09226660568578
42,6,88.0916353208339
42,7,88.09133230407424
42,8,88.09118685597429
42,9,88.09111704076923
42,10,88.09053617957083
42,11,88.09025736619698
42,12,88.09012353577897
42,13,88.09005929717947
42,14,88.09026676545243
42,15,88.09025107317372
42,16,88.09049189198845
42,17,88.0908156276348
42,18,88.09110105438212
42,19,88.09133699276833
42,20,88.09078966705032
42,21,88.09071478106698
42,22,88.09078129421083
42,23,88.09076051928858
42,24,88.09085465005694
42,25,88.09096213737025
43,0,1902.5622000000003
43,1,1903.5522000000008
43,2,1904.5427151474166
43,3,1905.5337457103055
43,4,1906.5252945065251
43,5,1907.5173643539326
43,6,1908.5099580703843
43,7,1909.503078473738
43,8,1910.4967283818505
43,9,1911.4909106125795
43,10,1912.485627983782
43,11,1913.4808833133152
43,12,1914.4766794190366
43,13,1915.4730191188034
