region,timePeriod,S
37,16,0.03345852320448012
37,17,0.03339759904659517
37,18,0.03335612049590281
37,19,0.033328195452253795
37,20,0.0333097023664434
37,21,0.03329775892888276
37,22,0.033290350158971777
37,23,0.03328606807459639
37,24,0.0332839294673678
37,25,0.03328324835155028
37,26,0.033283546684258376
38,0,0.099
38,1,0.0792
38,2,0.06538250000000001
38,3,0.05571875000000001
38,4,0.04895792500000001
38,5,0.04422730375
38,6,0.0409180310625
38,7,0.038603594259374985
38,8,0.036985439871406234
38,9,0.03585458560533589
38,10,0.035064748734319084
38,11,0.03451353598407808
38,12,0.03412927646540673
38,13,0.03386180473850914
38,14,0.03367600896904463
38,15,0.03354731464781496
38,16,0.03345852320448012
38,17,0.03339759904659517
38,18,0.03335612049590281
38,19,0.033328195452253795
38,20,0.0333097023664434
38,21,0.03329775892888276
38,22,0.033290350158971777
38,23,0.03328606807459639
38,24,0.0332839294673678
38,25,0.03328324835155028
38,26,0.033283546684258376
39,0,1.9998
39,1,1.5998400000000004
39,2,1.3207265000000006
39,3,1.1253824000000006
39,4,0.9887694212500007
39,5,0.8932494590500006
39,6,0.8264336237512504
39,7,0.7797051411388134
39,8,0.7470352059170855
39,9,0.724204183330774
39,10,0.7082584931701419
39,11,0.6971307318157676
39,12,0.6893738095378765
39,13,0.683974849080009
39,14,0.6802249176393254
39,15,0.6776278394666821
39,16,0.6758363648898733
39,17,0.6746074888229474
39,18,0.6737711739060979
39,19,0.6732084568778003
39,20,0.6728361232008169
39,21,0.6725959794576086
39,22,0.6724473441765131
39,23,0.6723617915519347
39,24,0.672319472183313
39,25,0.6723065377204294
39,26,0.6723133382368053
40,0,173.7945
40,1,139.03560000000002
40,2,114.77897875000002
40,3,97.81426562500006
40,4,85.94474861562507
40,5,77.64032075562505
40,6,71.83105474446097
40,7,67.76818202493041
40,8,64.92759968592782
40,9,62.942448547680954
40,10,61.55593632940344
40,11,60.58831666335686
40,12,59.913774834574724
40,13,59.444247895915964
40,14,59.11809876326913
40,15,58.89218810860996
40,16,58.73632470163244
40,17,58.62938066546769
40,18,58.5565721714364
40,19,58.50755594033376
40,20,58.47509680754577
40,21,58.454135032128306
40,22,58.441133425993996
40,23,58.43362035652467
40,24,58.42986985997969
40,25,58.42867773187761
40,26,58.42920480071157
41,0,202.36589999999998
41,1,161.89272
41,2,133.64836825
41,3,113.89469687500005
41,4,100.07385966687502
41,5,90.40420373487507
41,6,83.63990829003285
41,7,78.90910901575637
41,8,75.60154173626034
41,9,73.29003650032166
41,10,71.67558499056315
41,11,70.54889096466206
41,12,69.76345607367512
41,13,69.21674002990471
41,14,68.83697276034889
41,15,68.57392293468888
41,16,68.39243595660463
41,17,68.26791057682954
41,18,68.18313254062663
41,19,68.12605815844233
41,20,68.08826282191308
41,21,68.06385498079226
41,22,68.04871594173532
41,23,68.03996774163625
41,24,68.0356006724459
41,25,68.03421256134763
41,26,68.03482627904707
42,0,87.2091
42,1,69.76728000000001
42,2,57.59544425000002
42,3,49.08264687500003
42,4,43.126590176875034
42,5,38.95947510887504
42,6,36.04441818535787
42,7,34.005691566938935
42,8,32.58030336846136
42,9,31.584165722388036
42,10,30.888421710379674
42,11,30.40287561877028
42,12,30.064394333111352
42,13,29.828788363151432
42,14,29.66512856768088
42,15,29.55176787517769
42,16,29.47355649653545
42,17,29.41989258229023
42,18,29.38335769058292
42,19,29.358761622238717
42,20,29.34247381245632
42,21,29.33195531176409
42,22,29.325431179127378
42,23,29.321661163236968
42,24,29.319779185221364
42,25,29.31918098206265
42,26,29.319445462231165
43,0,1902.5621999999998
43,1,1522.0497599999999
43,2,1256.5078084999998
43,3,1070.7917937500001
43,4,940.8538820537501
43,5,849.9436947977501
43,6,786.348529688466
43,7,741.8714716711502
43,8,710.775064223425
43,9,689.0432285386642
43,10,673.864809564916
43,11,663.2720888316044
43,12,655.8877482156349
43,13,650.7477454834043
43,14,647.1773274843672
43,15,644.70423960271
43,16,642.9979725673684
