region,timePeriod,u
64,14,8.253395042536329e-05
64,21,7.552365225862509e-06
64,28,4.415974192106426e-06
64,35,5.741519635255616e-06
64,42,7.184270579385638e-06
64,49,8.466611439559067e-06
64,56,9.593134372318115e-06
64,63,0.0
65,0,0.0
65,7,0.0
65,14,0.0
65,21,0.0
65,28,0.0
65,35,0.0
65,42,0.0
65,49,0.0
65,56,0.0
65,63,0.0
66,0,0.0
66,7,0.0
66,14,0.0
66,21,0.0
66,28,0.0
66,35,0.0
66,42,0.0
66,49,0.0
66,56,0.0
66,63,0.0
