fromRegion,toFacility,decisionPeriod,quantity
5,64,100,5000000.0
5,64,110,138.01692631126235
5,64,130,5000000.0
6,6,10,5000000.0
6,6,20,5000000.0
6,6,30,5000000.0
6,6,40,5000000.0
6,6,50,5000000.0
6,6,60,5000000.0
6,6,70,5000000.0
6,6,80,5000000.0
6,6,90,5000000.0
6,6,100,5000000.0
6,6,110,5000000.0
6,6,120,5000000.0
6,6,130,5000000.0
6,6,140,5000000.0
6,6,150,5000000.0
6,11,30,411.81865836908196
6,11,60,5000000.0
6,11,70,5000000.0
6,11,80,5000000.0
6,11,90,4999848.134643424
6,11,100,280.9186519737523
6,11,120,5000000.0
6,11,140,5000000.0
6,25,10,5000000.0
6,25,20,5000000.0
6,25,40,4998574.190142988
6,25,50,5000000.0
6,25,60,4999936.406593573
6,25,70,1617.1530916727133
6,25,80,136.60756382653744
6,25,110,5000000.0
6,25,130,5000000.0
6,25,150,740.3410491879366
6,43,10,5000000.0
6,43,20,4998417.472420955
6,43,30,5000000.0
6,43,40,5000000.0
6,43,50,5000000.0
6,43,80,78.87680062559411
6,43,100,5000000.0
6,43,110,432.6723898207064
6,43,120,282.1006214097234
6,43,150,4999504.798143266
6,50,20,5000000.0
6,50,40,841.414712091535
6,50,90,5000000.0
6,50,100,5000000.0
6,50,110,4999453.693747116
6,50,130,339.16624381057665
6,50,140,5000000.0
6,50,150,5000000.0
7,3,20,5000000.0
7,3,60,5000000.0
7,3,80,5000000.0
7,3,90,5000000.0
7,3,120,5000000.0
7,3,130,5000000.0
7,7,10,5000000.0
7,7,20,5000000.0
7,7,30,5000000.0
7,7,40,5000000.0
7,7,50,5000000.0
7,7,60,5000000.0
7,7,70,5000000.0
7,7,80,5000000.0
7,7,90,5000000.0
7,7,100,5000000.0
7,7,110,5000000.0
7,7,120,5000000.0
7,7,130,5000000.0
7,7,140,5000000.0
7,7,150,5000000.0
7,18,30,4999983.54491769
7,18,50,5000000.0
7,18,60,4999999.667592387
7,18,120,5000000.0
7,18,140,5000000.0
7,18,150,5000000.0
7,19,10,353.26008057408035
7,19,20,5000000.0
7,19,40,5000000.0
7,19,50,5000000.0
7,19,60,55.27462597191334
7,19,90,5000000.0
7,19,100,5000000.0
7,19,120,5000000.0
7,22,10,5000000.0
7,22,40,5000000.0
7,22,70,5000000.0
7,22,80,5000000.0
7,22,90,5000000.0
7,22,110,5000000.0
7,22,120,5000000.0
7,22,130,235.64849123125884
7,22,140,5000000.0
7,29,10,57.47029973845929
7,29,30,5000000.0
7,29,80,5000000.0
7,29,90,5000000.0
7,29,100,5000000.0
7,29,140,1.1617361681176732
7,31,20,9.08291866405144
7,31,30,5000000.0
7,31,60,5000000.0
7,31,70,5000000.0
7,31,80,5000000.0
7,31,100,5000000.0
7,31,110,5000000.0
7,36,10,4999640.396348024
7,36,20,5000000.0
7,36,40,5000000.0
7,36,50,4999999.2551165065
7,36,60,193.5548322109019
7,36,70,5000000.0
7,36,130,4999943.013040532
7,36,140,5000000.0
7,36,150,5000000.0
7,38,10,0.26847744156948083
7,38,20,5000000.0
7,38,50,5000000.0
7,38,70,5000000.0
7,38,80,5000000.0
7,38,110,5000000.0
7,38,120,5000000.0
7,38,130,4999999.999879494
7,38,150,5000000.0
7,65,10,5000000.0
7,65,30,5000000.0
7,65,50,5000000.0
7,65,60,5000000.0
7,65,70,429.55175528240676
7,65,110,5000000.0
7,65,130,5000000.0
7,66,10,4999942.297240544
7,66,30,5000000.0
7,66,40,5000000.0
7,66,60,4999750.162133633
7,66,70,5000000.0
7,66,90,5000000.0
7,66,100,5000000.0
7,66,120,5000000.0
7,66,130,5000000.0
7,66,140,5000000.0
7,66,150,5000000.0
7,67,10,5000000.0
7,67,20,5000000.0
7,67,40,5000000.0
7,67,50,5000000.0
7,67,60,5000000.0
7,67,100,5000000.0
7,67,110,5000000.0
7,67,130,4999997.748804644
7,67,140,5000000.0
7,67,150,5000000.0
8,8,10,5000000.0
8,8,20,5000000.0
8,8,30,5000000.0
8,8,40,5000000.0
8,8,50,5000000.0
8,8,60,5000000.0
8,8,70,5000000.0
8,8,80,5000000.0
8,8,90,5000000.0
8,8,100,5000000.0
8,8,110,5000000.0
8,8,120,5000000.0
8,8,130,5000000.0
8,8,140,5000000.0
8,8,150,5000000.0
8,13,10,5000000.0
8,13,20,5000000.0
8,13,30,5000000.0
8,13,50,5000000.0
8,13,70,5000000.0
8,13,90,5000000.0
8,13,110,5000000.0
8,13,120,5000000.0
8,13,130,5000000.0
8,13,150,5000000.0
8,21,10,5000000.0
8,21,20,4999656.702154786
8,21,60,5000000.0
8,21,80,5000000.0
8,21,90,120.08890795909684
8,21,100,4999822.155454703
8,21,110,4999695.1583366
8,21,120,4999947.404954332
8,21,130,5000000.0
8,21,150,5000000.0
8,24,40,5000000.0
8,24,70,4.847308801152581
8,24,80,5000000.0
8,24,110,5000000.0
8,24,140,5000000.0
8,24,150,5000000.0
8,25,10,4999213.184790598
8,25,30,5000000.0
8,25,60,5000000.0
8,25,100,5000000.0
8,25,110,240.45288628995945
8,25,120,5000000.0
8,25,130,5000000.0
8,25,140,4999919.119497176
8,27,40,5000000.0
8,27,50,5000000.0
8,27,70,5000000.0
8,27,80,58.55707412492484
8,27,90,5000000.0
8,27,110,5000000.0
8,35,10,5000000.0
8,35,20,5000000.0
8,35,30,5000000.0
8,35,50,5000000.0
8,35,60,5000000.0
8,35,100,5000000.0
8,35,110,5000000.0
8,35,130,5000000.0
8,35,140,5000000.0
8,40,20,5000000.0
8,40,40,50.99599960527485
8,40,50,5000000.0
8,40,60,5000000.0
8,40,70,5000000.0
8,40,80,5000000.0
8,40,90,4999884.124622284
8,40,120,5000000.0
8,40,150,5000000.0
8,56,10,5000000.0
8,56,20,355.417084088549
8,56,30,5000000.0
8,56,40,5000000.0
8,56,70,5000000.0
8,56,90,5000000.0
8,56,100,5000000.0
8,56,120,5000000.0
8,56,130,4999822.3796281405
8,56,140,4999961.749614952
8,56,150,33.13928397461501
9,1,10,4999710.979276575
9,1,30,5000000.0
9,1,40,5000000.0
9,1,50,5000000.0
9,1,60,5000000.0
9,1,70,5000000.0
9,1,90,5000000.0
9,1,100,5000000.0
9,1,110,5000000.0
9,1,120,4999795.392664691
9,1,130,4999897.956590365
9,1,140,5000000.0
